T,1-point_corr,F,corrs,rhos
3000,-1.0,1.9999996587944697,[ 1. -1.  1.  1. -1.  1.],[ 1.  0. -0.]
3000,-0.875,1.2638739037279012,[ 1.   -0.88  0.75  0.75 -0.63  0.5 ],[0.88 0.06 0.  ]
3000,-0.75,0.6243286943862516,[ 1.   -0.75  0.5   0.58 -0.33  0.16],[0.75 0.12 0.  ]
3000,-0.625,0.07106350744714746,[ 1.   -0.62  0.25  0.25  0.12 -0.5 ],[0.63 0.19 0.  ]
3000,-0.5,-0.39396191365951777,[ 1.   -0.5   0.    0.    0.5  -0.99],[0.5  0.25 0.  ]
3000,-0.375,-1.0241111515587888,[ 1.   -0.38 -0.25  0.4   0.23 -0.21],[0.38 0.31 0.  ]
3000,-0.25,-1.4859901357885248,[ 1.   -0.25 -0.5   0.5   0.25  0.01],[0.25 0.37 0.  ]
3000,-0.125,-1.7541955837337064,[ 1.   -0.12 -0.75  1.   -0.12  1.  ],[0.13 0.44 0.  ]
3000,0.0,-0.504991283937661,[ 1.   -0.    0.08  0.34 -0.23  0.12],[0.27 0.23 0.27]
3000,0.125,-1.8951571634169389,[ 1.    0.12 -0.75  0.75 -0.12  0.51],[0.   0.44 0.13]
3000,0.25,-1.2799020242132089,[ 1.    0.25 -0.5   1.    0.25  1.  ],[0.   0.37 0.25]
3000,0.375,-0.9558747634844706,[ 1.    0.38 -0.23  0.24 -0.39 -0.52],[0.01 0.31 0.38]
3000,0.5,-0.3978711943485422,[ 1.    0.5   0.01  0.01 -0.48 -0.97],[0.   0.25 0.5 ]
3000,0.625,0.0710660666571778,[ 1.    0.62  0.25  0.25 -0.12 -0.5 ],[0.   0.19 0.63]
3000,0.75,0.6295350920404845,[1.   0.75 0.5  0.65 0.4  0.29],[0.   0.12 0.75]
3000,0.875,1.2620022261687776,[1.   0.88 0.75 0.76 0.64 0.52],[0.   0.06 0.88]
3000,1.0,1.9999998516149862,[1. 1. 1. 1. 1. 1.],[-0.  0.  1.]
